cardholder_id,Token,SubBIN,card_network,card_type,home_country,account_open_date,avg_txn_amount,std_txn_amount,usual_online_ratio,risk_segment,prior_chargebacks
CH0000000,803410709,409417,VISA,DEBIT,GBR,2024-07-01,40.94,78.19,0.26,LOW,0
CH0000001,679478607,408925,VISA,CREDIT,CAN,2019-09-04,46.31,26.44,0.262,LOW,0
CH0000002,462172927,452647,VISA,DEBIT,DEU,2020-01-02,116.63,40.11,0.216,MEDIUM,0
CH0000003,590886206,408925,VISA,DEBIT,CAN,2018-11-21,69.85,14.58,0.382,HIGH,0
CH0000004,499072778,477394,VISA,DEBIT,DEU,2020-08-18,148.92,22.76,0.061,LOW,0
CH0000005,505413597,452647,VISA,DEBIT,USA,2021-02-27,89.8,14.87,0.485,LOW,0
CH0000006,304514849,477394,VISA,DEBIT,CAN,2023-09-11,17.49,58.92,0.077,MEDIUM,0
CH0000007,182922322,408594,VISA,DEBIT,GBR,2020-03-09,103.53,10.66,0.722,LOW,0
CH0000008,599126307,549302,MASTERCARD,CREDIT,CAN,2018-10-05,80.4,33.9,0.431,LOW,1
CH0000009,899100857,469736,VISA,DEBIT,IND,2022-07-07,40.46,33.26,0.27,LOW,0
CH0000010,157435530,556337,MASTERCARD,CREDIT,USA,2020-03-18,350.37,31.99,0.25,LOW,0
CH0000011,872462163,528539,MASTERCARD,CREDIT,ESP,2021-07-11,108.49,6.64,0.314,LOW,0
CH0000012,844868053,545873,MASTERCARD,CREDIT,USA,2021-05-25,141.65,8.05,0.337,LOW,0
CH0000013,349083724,556337,MASTERCARD,CREDIT,USA,2019-07-11,145.66,29.09,0.081,LOW,0
CH0000014,668497958,535017,MASTERCARD,DEBIT,USA,2022-12-15,47.65,15.58,0.556,HIGH,0
CH0000015,248706171,469736,VISA,CREDIT,GBR,2018-12-31,110.69,18.44,0.564,LOW,0
CH0000016,782278965,516405,MASTERCARD,CREDIT,GBR,2018-04-05,85.87,21.02,0.125,LOW,0
CH0000017,419073370,443887,VISA,CREDIT,ESP,2024-02-22,42.71,14.41,0.154,LOW,0
CH0000018,161128001,535660,MASTERCARD,DEBIT,USA,2021-06-19,25.1,13.0,0.295,MEDIUM,0
CH0000019,973628220,497561,VISA,CREDIT,IND,2024-10-21,67.99,27.11,0.09,MEDIUM,0
CH0000020,501118737,408925,VISA,DEBIT,USA,2022-08-20,106.65,8.64,0.477,LOW,0
CH0000021,903809008,408594,VISA,DEBIT,DEU,2022-05-25,67.56,20.02,0.183,LOW,0
CH0000022,710127109,519127,MASTERCARD,DEBIT,CAN,2020-06-07,57.64,18.17,0.211,MEDIUM,0
CH0000023,800545146,469736,VISA,DEBIT,GBR,2022-04-12,68.16,26.73,0.143,LOW,0
CH0000024,783909496,443301,VISA,CREDIT,GBR,2022-06-22,53.01,113.56,0.41,LOW,0
CH0000025,275174836,443301,VISA,CREDIT,IND,2019-09-10,230.32,15.04,0.212,LOW,0
CH0000026,427515427,497561,VISA,DEBIT,GBR,2019-10-17,82.78,34.6,0.041,LOW,0
CH0000027,520048902,535017,MASTERCARD,CREDIT,USA,2024-11-11,45.19,30.95,0.045,LOW,0
CH0000028,548012387,551986,MASTERCARD,CREDIT,GBR,2022-08-23,15.7,37.94,0.54,LOW,0
CH0000029,591912552,452647,VISA,PREPAID,GBR,2019-10-03,56.95,23.86,0.317,MEDIUM,0
CH0000030,238860542,485858,VISA,CREDIT,ESP,2024-03-23,42.04,64.38,0.18,LOW,0
CH0000031,769038315,477394,VISA,DEBIT,DEU,2021-04-18,40.81,40.9,0.289,LOW,0
CH0000032,930275054,497561,VISA,DEBIT,CAN,2021-08-05,141.75,41.29,0.448,LOW,0
CH0000033,770285939,532518,MASTERCARD,CREDIT,GBR,2020-03-15,71.08,11.61,0.251,MEDIUM,1
CH0000034,429978390,516405,MASTERCARD,DEBIT,ESP,2020-05-07,17.36,28.73,0.474,LOW,0
CH0000035,469765318,409417,VISA,PREPAID,IND,2021-06-24,109.41,19.97,0.415,LOW,0
CH0000036,393242821,545873,MASTERCARD,PREPAID,FRA,2022-02-16,18.81,16.17,0.376,MEDIUM,0
CH0000037,433413734,452647,VISA,PREPAID,GBR,2019-07-29,116.12,18.62,0.279,LOW,0
CH0000038,168708867,548056,MASTERCARD,DEBIT,GBR,2022-05-04,45.6,26.22,0.194,MEDIUM,0
CH0000039,522600229,546786,MASTERCARD,CREDIT,IND,2021-12-19,71.49,35.66,0.216,LOW,0
CH0000040,816111976,535660,MASTERCARD,CREDIT,DEU,2022-01-31,65.37,48.86,0.37,MEDIUM,0
CH0000041,270524222,546786,MASTERCARD,DEBIT,GBR,2022-08-01,59.23,47.5,0.719,HIGH,0
CH0000042,516646513,519127,MASTERCARD,DEBIT,GBR,2020-08-30,78.86,32.32,0.452,LOW,0
CH0000043,216929354,452647,VISA,DEBIT,USA,2020-08-13,71.2,28.03,0.315,LOW,0
CH0000044,528134432,408925,VISA,DEBIT,ESP,2018-11-03,297.61,22.32,0.462,LOW,0
CH0000045,397176699,485858,VISA,PREPAID,CAN,2021-12-01,79.77,23.37,0.401,LOW,0
CH0000046,304218413,546786,MASTERCARD,CREDIT,DEU,2019-10-13,81.27,16.98,0.133,MEDIUM,0
CH0000047,608049903,546786,MASTERCARD,DEBIT,IND,2022-11-15,37.8,20.97,0.179,LOW,0
CH0000048,702832594,548056,MASTERCARD,CREDIT,AUS,2018-05-31,90.44,33.53,0.049,LOW,0
CH0000049,946275485,516405,MASTERCARD,DEBIT,USA,2018-09-30,29.4,68.32,0.489,LOW,0
CH0000050,493436726,408594,VISA,DEBIT,GBR,2020-12-04,167.35,24.78,0.232,MEDIUM,0
CH0000051,244619345,549302,MASTERCARD,DEBIT,IND,2020-01-13,20.34,16.7,0.28,LOW,0
CH0000052,849410375,535660,MASTERCARD,CREDIT,USA,2021-01-01,33.96,48.5,0.216,LOW,0
CH0000053,666787870,409417,VISA,CREDIT,USA,2023-08-05,18.11,8.15,0.262,LOW,0
CH0000054,730238590,409417,VISA,CREDIT,GBR,2018-07-24,93.29,50.7,0.334,LOW,0
CH0000055,187503970,443301,VISA,CREDIT,CAN,2019-12-02,47.51,11.48,0.323,LOW,0
CH0000056,381129976,409417,VISA,DEBIT,AUS,2022-01-31,115.44,40.22,0.262,LOW,0
CH0000057,791059522,551986,MASTERCARD,CREDIT,GBR,2023-03-21,30.55,20.38,0.33,LOW,0
CH0000058,849033820,528539,MASTERCARD,DEBIT,DEU,2020-05-27,102.02,32.87,0.161,MEDIUM,1
CH0000059,491695000,545873,MASTERCARD,DEBIT,GBR,2022-01-03,106.05,94.62,0.064,LOW,0
CH0000060,824287920,469736,VISA,CREDIT,GBR,2019-04-29,79.0,16.4,0.283,LOW,0
CH0000061,448730540,535660,MASTERCARD,DEBIT,GBR,2023-06-15,68.35,14.87,0.227,LOW,0
CH0000062,908278862,516405,MASTERCARD,DEBIT,USA,2021-05-27,74.42,28.42,0.18,HIGH,0
CH0000063,315602005,469736,VISA,DEBIT,GBR,2024-02-28,32.18,67.71,0.194,LOW,0
CH0000064,714245952,532518,MASTERCARD,DEBIT,IND,2020-02-06,28.21,30.19,0.159,LOW,0
CH0000065,673085642,477394,VISA,PREPAID,CAN,2022-03-24,103.04,27.85,0.312,LOW,0
CH0000066,225777234,408925,VISA,DEBIT,USA,2023-08-15,49.65,30.01,0.412,LOW,0
CH0000067,279917381,465456,VISA,CREDIT,DEU,2021-03-03,95.84,14.84,0.511,LOW,0
CH0000068,824409200,443887,VISA,PREPAID,FRA,2021-01-22,230.62,30.19,0.45,LOW,0
CH0000069,106626042,528539,MASTERCARD,CREDIT,USA,2022-11-18,46.26,21.42,0.263,LOW,0
CH0000070,808231938,452647,VISA,DEBIT,GBR,2018-07-28,41.26,59.95,0.212,MEDIUM,0
CH0000071,802327885,408594,VISA,PREPAID,GBR,2024-06-01,51.45,43.76,0.143,HIGH,0
CH0000072,524410429,452647,VISA,DEBIT,IND,2022-09-04,68.8,12.25,0.289,LOW,1
CH0000073,734648839,409417,VISA,DEBIT,USA,2023-03-28,109.0,22.88,0.33,LOW,0
CH0000074,349409462,469736,VISA,CREDIT,IND,2018-08-31,65.19,37.22,0.433,LOW,0
CH0000075,600082264,443887,VISA,DEBIT,IND,2023-04-07,351.72,15.05,0.248,LOW,0
CH0000076,513024197,549302,MASTERCARD,CREDIT,USA,2023-06-08,93.38,14.19,0.484,MEDIUM,0
CH0000077,555045625,443887,VISA,DEBIT,GBR,2020-12-05,124.54,20.55,0.149,HIGH,0
CH0000078,611867075,551986,MASTERCARD,CREDIT,GBR,2023-03-01,64.75,33.34,0.429,LOW,0
CH0000079,133536080,443301,VISA,CREDIT,GBR,2023-01-07,149.82,50.52,0.239,MEDIUM,1
CH0000080,225817298,516405,MASTERCARD,PREPAID,AUS,2023-04-08,56.59,31.16,0.391,MEDIUM,1
CH0000081,320933049,532518,MASTERCARD,DEBIT,IND,2021-04-25,39.83,118.8,0.111,MEDIUM,0
CH0000082,495652216,443887,VISA,DEBIT,IND,2019-11-10,137.59,18.06,0.542,LOW,0
CH0000083,701562664,465456,VISA,PREPAID,IND,2021-09-29,63.7,42.28,0.615,MEDIUM,0
CH0000084,688985973,519127,MASTERCARD,CREDIT,USA,2018-11-28,81.14,13.94,0.41,LOW,0
CH0000085,523986584,497561,VISA,DEBIT,GBR,2023-02-15,146.28,71.28,0.421,MEDIUM,1
CH0000086,869572005,549302,MASTERCARD,DEBIT,GBR,2019-03-18,74.53,61.29,0.104,LOW,0
CH0000087,171277663,408925,VISA,CREDIT,GBR,2019-11-30,59.18,41.55,0.474,MEDIUM,0
CH0000088,788498970,408594,VISA,CREDIT,GBR,2024-06-05,43.45,9.57,0.101,LOW,0
CH0000089,617140560,546786,MASTERCARD,CREDIT,GBR,2020-05-30,155.92,41.32,0.173,LOW,0
CH0000090,671246487,528539,MASTERCARD,CREDIT,CAN,2018-03-19,50.74,16.59,0.361,LOW,0
CH0000091,608835992,408594,VISA,DEBIT,GBR,2020-04-28,64.02,35.59,0.418,LOW,0
CH0000092,598221459,551986,MASTERCARD,DEBIT,GBR,2023-03-07,83.89,11.33,0.516,LOW,1
CH0000093,181509782,549302,MASTERCARD,CREDIT,GBR,2021-12-29,83.62,31.88,0.226,MEDIUM,0
CH0000094,815421353,465456,VISA,PREPAID,GBR,2019-01-17,150.05,21.93,0.114,LOW,0
CH0000095,373555087,469736,VISA,DEBIT,GBR,2022-10-14,63.06,17.0,0.236,LOW,0
CH0000096,642554418,485858,VISA,CREDIT,GBR,2021-09-15,200.56,38.69,0.328,LOW,0
CH0000097,127736050,452647,VISA,DEBIT,GBR,2020-12-06,54.65,26.29,0.132,MEDIUM,0
CH0000098,412749281,549302,MASTERCARD,DEBIT,ESP,2019-05-01,89.71,23.98,0.481,LOW,0
CH0000099,493045649,452647,VISA,PREPAID,GBR,2018-06-11,57.57,42.2,0.168,MEDIUM,0
CH0000100,984464553,485858,VISA,DEBIT,GBR,2020-02-29,355.85,84.98,0.397,MEDIUM,0
CH0000101,348893497,535660,MASTERCARD,DEBIT,USA,2021-12-29,50.37,31.99,0.645,LOW,0
CH0000102,467675778,545873,MASTERCARD,CREDIT,GBR,2022-02-25,54.15,9.17,0.398,LOW,0
